MobileNetV2 FP32 Inference Profiling
Batch size: 1 | Input: 3x224x224 | Runs: 10
Device: CPU | torch: 2.11.0+cpu
================================================================================

--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  Total KFLOPs  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
      aten::_slow_conv2d_forward         0.96%       1.054ms         0.99%       1.088ms     108.830us            10                               [[1, 320, 7, 7], [1280, 320, 1, 1], [], [], [], []]            --  
         aten::native_batch_norm         0.91%     998.900us         0.98%       1.083ms     108.310us            10                           [[1, 96, 112, 112], [96], [96], [96], [96], [], [], []]            --  
                 aten::hardtanh_         0.13%     148.400us         0.98%       1.083ms      13.535us            80                                                        [[1, 384, 14, 14], [], []]            --  
               aten::convolution         0.03%      36.600us         0.98%       1.082ms     108.200us            10                   [[1, 144, 28, 28], [32, 144, 1, 1], [], [], [], [], [], [], []]            --  
                    aten::conv2d         0.02%      25.200us         0.98%       1.081ms     108.140us            10                           [[1, 384, 14, 14], [96, 384, 1, 1], [], [], [], [], []]    144506.880  
               aten::convolution         0.03%      28.900us         0.96%       1.056ms     105.620us            10                   [[1, 384, 14, 14], [96, 384, 1, 1], [], [], [], [], [], [], []]            --  
                    aten::conv2d         0.02%      22.400us         0.95%       1.049ms     104.920us            10                            [[1, 576, 7, 7], [160, 576, 1, 1], [], [], [], [], []]     90316.800  
              aten::_convolution         0.04%      47.500us         0.95%       1.045ms     104.540us            10   [[1, 144, 28, 28], [32, 144, 1, 1], [], [], [], [], [], [], [], [], [], [], []]            --  
              aten::_convolution         0.03%      32.000us         0.93%       1.027ms     102.730us            10   [[1, 384, 14, 14], [96, 384, 1, 1], [], [], [], [], [], [], [], [], [], [], []]            --  
               aten::convolution         0.03%      34.300us         0.93%       1.027ms     102.680us            10                    [[1, 576, 7, 7], [160, 576, 1, 1], [], [], [], [], [], [], []]            --  
    aten::_batch_norm_impl_index         0.20%     224.100us         0.93%       1.021ms      51.035us            20                       [[1, 32, 112, 112], [32], [32], [32], [32], [], [], [], []]            --  
        aten::mkldnn_convolution         0.88%     971.100us         0.91%     997.900us      99.790us            10                           [[1, 144, 28, 28], [32, 144, 1, 1], [], [], [], [], []]            --  
        aten::mkldnn_convolution         0.88%     970.400us         0.90%     995.300us      99.530us            10                           [[1, 384, 14, 14], [96, 384, 1, 1], [], [], [], [], []]            --  
              aten::_convolution         0.03%      31.500us         0.90%     992.500us      99.250us            10    [[1, 576, 7, 7], [160, 576, 1, 1], [], [], [], [], [], [], [], [], [], [], []]            --  
        aten::mkldnn_convolution         0.85%     938.200us         0.87%     961.000us      96.100us            10                            [[1, 576, 7, 7], [160, 576, 1, 1], [], [], [], [], []]            --  
                    aten::conv2d         0.02%      24.300us         0.86%     942.200us      94.220us            10                           [[1, 192, 14, 14], [64, 192, 1, 1], [], [], [], [], []]     48168.960  
                  aten::hardtanh         0.13%     147.900us         0.85%     934.400us      11.680us            80                                      [[1, 384, 14, 14], [], [], [1, 384, 14, 14]]            --  
               aten::convolution         0.03%      32.600us         0.83%     917.900us      91.790us            10                   [[1, 192, 14, 14], [64, 192, 1, 1], [], [], [], [], [], [], []]            --  
         aten::native_batch_norm         0.66%     722.100us         0.81%     895.700us      22.393us            40                             [[1, 64, 14, 14], [64], [64], [64], [64], [], [], []]            --  
              aten::_convolution         0.03%      35.000us         0.80%     885.300us      88.530us            10   [[1, 192, 14, 14], [64, 192, 1, 1], [], [], [], [], [], [], [], [], [], [], []]            --  
                aten::batch_norm         0.06%      64.100us         0.80%     884.200us      29.473us            30                      [[1, 160, 7, 7], [160], [160], [160], [160], [], [], [], []]            --  
                 aten::hardtanh_         0.09%     102.600us         0.78%     856.700us      17.134us            50                                                        [[1, 192, 28, 28], [], []]            --  
        aten::mkldnn_convolution         0.75%     828.500us         0.77%     850.300us      85.030us            10                           [[1, 192, 14, 14], [64, 192, 1, 1], [], [], [], [], []]            --  
    aten::_batch_norm_impl_index         0.15%     160.200us         0.74%     820.100us      27.337us            30                      [[1, 160, 7, 7], [160], [160], [160], [160], [], [], [], []]            --  
                 aten::hardtanh_         0.10%     107.500us         0.71%     786.600us      13.110us            60                                                          [[1, 960, 7, 7], [], []]            --  
                     aten::clamp         0.70%     772.700us         0.71%     786.500us       9.831us            80                                      [[1, 384, 14, 14], [], [], [1, 384, 14, 14]]            --  
         aten::native_batch_norm         0.63%     697.700us         0.71%     784.900us      39.245us            20                           [[1, 32, 112, 112], [32], [32], [32], [32], [], [], []]            --  
                  aten::hardtanh         0.10%     114.300us         0.68%     754.100us      15.082us            50                                      [[1, 192, 28, 28], [], [], [1, 192, 28, 28]]            --  
                 aten::hardtanh_         0.08%      92.900us         0.65%     717.100us      14.342us            50                                                        [[1, 576, 14, 14], [], []]            --  
                aten::batch_norm         0.06%      63.300us         0.65%     715.900us      23.863us            30                         [[1, 96, 14, 14], [96], [96], [96], [96], [], [], [], []]            --  
